Timestamp,/RealOutputs/ToF/Distance,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1,/RealOutputs/ToF/Distance/length,/RealOutputs/ToF/FPGA,/RealOutputs/ToF/NT_Delta,/RealOutputs/ToF/NT_Time,/RealOutputs/ToF/Timestamps,/RealOutputs/ToF/Timestamps/0,/RealOutputs/ToF/Timestamps/1,/RealOutputs/ToF/Timestamps/2,/RealOutputs/ToF/Timestamps/length,/RealOutputs/Drive/LeftPositionMeters,/RealOutputs/Drive/LeftVelocityMetersPerSec,/RealOutputs/Drive/RightPositionMeters,/RealOutputs/Drive/RightVelocityMetersPerSec,/RealOutputs/Odometry/Robot,/RealOutputs/Odometry/Robot/rotation/value,/RealOutputs/Odometry/Robot/translation/x,/RealOutputs/Odometry/Robot/translation/y,,,
65.049704,336,756,336,756,2,65.050446,0.0194379999999939,65.031008,443.008056640625,443.028045654297,443.048034667969,443.008056640625,443.028045654297,443.048034667969,3,4.03973627090454,-1.25916945934296,2.38264966011047,-1.24863243103027,81-f5-7a-92-36-5f-12-40-02-ba-e1-ee-4e-79-fe-bf-65-98-c0-4e-b1-1d-09-c0,-3.13949834370856,4.59298161387903,-1.90461629212553
65.069664,422,790,422,790,2,65.070517,-0.00207500000000493,65.072592,443.048034667969,443.069610595703,443.089599609375,443.048034667969,443.069610595703,443.089599609375,3,4.01470851898193,-1.25916945934296,2.35762453079224,-1.25390100479126,0b-1f-26-16-d7-78-12-40-af-41-98-64-13-79-fe-bf-db-25-eb-41-fa-1c-09-c0,-3.13914920328965,4.61800798995661,-1.90455951018167
65.089698,422,790,422,790,2,65.090273,0.0176809999999961,65.072592,443.048034667969,443.069610595703,443.089599609375,443.048034667969,443.069610595703,443.089599609375,3,3.98968052864075,-1.25916945934296,2.33259963989258,-1.25390100479126,56-7d-62-98-77-92-12-40-98-87-cb-b0-ce-78-fe-bf-51-b3-15-35-43-1c-09-c0,-3.13880006287074,4.64303434468396,-1.90449399052202
65.109695,539,1241,539,1241,2,65.110437,-0.00215199999999527,65.112589,443.089630126953,443.109619140625,443.129608154297,443.089630126953,443.109619140625,443.129608154297,3,3.96465277671814,-1.25390112400055,2.30757474899292,-1.24863255023956,7d-08-88-10-18-ac-12-40-b3-11-a7-89-7e-78-fe-bf-24-ce-b4-b3-30-1b-09-c0,-3.13827648540043,4.66806054907113,-1.90441755075981
65.129692,539,1241,539,1241,2,65.130248,0.0176589999999948,65.112589,443.089630126953,443.109619140625,443.129608154297,443.089630126953,443.109619140625,443.129608154297,3,3.93962526321411,-1.25390112400055,2.28254985809326,-1.24336397647858,92-58-4a-7e-b8-c5-12-40-31-f5-32-ef-22-78-fe-bf-9a-5b-df-a6-79-1a-09-c0,-3.13792734498152,4.69308659867069,-1.90433019101267
65.149689,545,803,545,803,2,65.150375,-0.00221100000000263,65.152586,443.129608154297,443.149627685547,443.169586181641,443.129608154297,443.149627685547,443.169586181641,3,3.91591477394104,-1.25390112400055,2.25884199142456,-1.24336397647858,13-57-db-a8-ff-dd-12-40-48-7f-88-f7-bc-77-fe-bf-27-91-67-3c-b0-18-09-c0,-3.13705489340841,4.71679557646509,-1.90423294727948
65.169667,545,803,545,803,2,65.170261,0.017674999999997,65.152586,443.129608154297,443.149627685547,443.169586181641,443.129608154297,443.149627685547,443.169586181641,3,3.88956952095032,-1.24863255023956,2.2338171005249,-1.24336385726929,f5-e0-fb-c4-4c-f8-12-40-13-bb-ce-b3-3b-77-fe-bf-fb-ab-06-bb-9d-17-09-c0,-3.1365313159381,4.74248035228105,-1.90410967099496
65.189701,584,801,584,801,2,65.190591,-0.00198699999999974,65.192578,443.169616699219,443.189605712891,443.209594726563,443.169616699219,443.189605712891,443.209594726563,3,3.86454176902771,-1.25390100479126,2.20879220962524,-1.24336385726929,c8-3d-f4-2d-ed-11-13-40-2f-08-64-4d-b2-76-fe-bf-70-39-31-ae-e6-16-09-c0,-3.13618217551919,4.76750633052092,-1.90397863608133
65.209716,584,801,584,801,2,65.210254,0.0176760000000087,65.192578,443.169616699219,443.189605712891,443.209594726563,443.169616699219,443.189605712891,443.209594726563,3,3.8395140171051,-1.25390100479126,2.18376731872559,-1.24336385726929,57-22-10-92-8d-2b-13-40-50-d1-c3-28-1b-76-fe-bf-5c-54-86-94-78-15-09-c0,-3.13548389468137,4.79253223632312,-1.90383449481768
65.232236,809,1250,809,1250,2,65.23283,0.000257000000004837,65.232573,443.209594726563,443.229614257813,443.249572753906,443.209594726563,443.229614257813,443.249572753906,3,3.81448602676392,-1.25390100479126,2.15874218940735,-1.24863243103027,36-05-e7-00-2e-45-13-40-25-8f-6e-46-76-75-fe-bf-17-6f-6f-ab-c1-14-09-c0,-3.13513502057857,4.81755830202137,-1.9036772490735
